'freguesia','bairro','tipologia','renda','nrelementos'
'Paranhos','Outeiro','<= 1','[60 - 80[','1'
'Ramalde','Campinas','2',' < 20 ','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Agr. Hab. da Pasteleira','3','[20 - 40[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','3',' < 20 ','1'
'Campanhã','S. Roque da Lameira','2','[60 - 80[','4'
'Ramalde','Francos','2','[60 - 80[','2'
'Campanhã','Cerco do Porto','4','[40 - 60[','3'
'Campanhã','S. Roque da Lameira','2','[60 - 80[','2'
'Campanhã','Cerco do Porto','3',' < 20 ','1'
'UF Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória','Fontinha','3','[100 - 120[','4'
'Campanhã','Ilhéu','3','[180 - 200[','2'
'Campanhã','Cerco do Porto','2','[20 - 40[','3'
'Ramalde','Campinas','2','[20 - 40[','1'
'Paranhos','Santa Luzia','3','[20 - 40[','1'
'Paranhos','Carvalhido','3','[80 - 100[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'Paranhos','Carvalhido','2','[60 - 80[','2'
'Paranhos','Carvalhido','2','[60 - 80[','3'
'Paranhos','Agra do Amial','3','[40 - 60[','2'
'Paranhos','Agra do Amial','3','[40 - 60[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','2'
'Paranhos','Carriçal','3','[80 - 100[','3'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','2'
'Paranhos','Carriçal','3','[80 - 100[','2'
'Paranhos','Carriçal','3','[80 - 100[','2'
'Bonfim','Fernão de Magalhães','2','[60 - 80[','2'
'Campanhã','S. Roque da Lameira','3','[40 - 60[','2'
'Campanhã','S. Roque da Lameira','3','[40 - 60[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Bom Sucesso','3','[40 - 60[','1'
'Campanhã','Cerco do Porto','3','[40 - 60[','2'
'Paranhos','Carriçal','2','[60 - 80[','2'
'Paranhos','Carriçal','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','1'
'Paranhos','Regado','2','[60 - 80[','2'
'Paranhos','Regado','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'Campanhã','Cerco do Porto','3','[40 - 60[','2'
'Paranhos','Regado','2','[60 - 80[','2'
'Ramalde','Campinas','2','[60 - 80[','2'
'Campanhã','Lagarteiro','3','[20 - 40[','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2',' < 20 ','1'
'Campanhã','Lagarteiro','3','[40 - 60[','1'
'Campanhã','Eng. Machado Vaz','2','[20 - 40[','2'
'Campanhã','Lagarteiro','2',' < 20 ','2'
